Stage	Trade	Supplier	Component	Unit	Quantity	Price	Description
							
PRE	0000	00001	7000	1	1	$1.00	PRE ITEMS AS PER AAJA REPORT
							
PSUM1	0260	50001	7000	1	0	$0.00	0
PSUM1	0260	50001	7001	1	0	$0.00	0
PSUM1	0260	50001	7002	1	0	$0.00	0
PSUM1	0260	50001	7003	1	0	$0.00	0
PSUM1	0260	50001	7004	1	0	$0.00	0
PSUM1	0260	50001	7005	1	0	$0.00	0
PSUM1	0260	50001	7006	1	0	$0.00	0
PSUM1	0260	50001	7007	1	0	$0.00	0
PSUM1	0260	50001	7007	1	0	$0.00	0
PSUM1	0260	50001	7007	1	0	$0.00	0
PSUM1	0260	50001	7007	1	0	$0.00	0
PSUM1	0260	50001	7007	1	0	$0.00	0
							
SITE	0215	50001	7000	1	0	$0.00	AREA LOADING
							
SITE	0250	11164800	0015	1			TEMP. POWER  BUNBURY TO MARGARET RIVER (U/G ONLY)
							
SITE	0260	50001	7010	1		$0.00	SITE WORKS AS PER Q#
SITE	0260	50001	7215	1		$0.00	ACCESS TRACK AS PER Q#
							
SITE	0280	04231	0018	1	1	$1,056.00	SINGLE STOREY - CHEMICAL TOILET HIRE ONLY - 48 WEEKS HIRE
SITE	0280	04231	0020	1	1	$188.00	SINGLE STOREY - SHED ONLY (8 WEEKS)
SITE	0280	04231	8000	0	1	$0.00	PLEASE DO NOT PLACE IN FRONT OF SITE SIGNS
							
SITE	300	97686	7000	1	0	$0.00	FUJI CLEAN ATU AS PER QUOTE
							
SITE	0310	03631	0230	1	5		10M3 BIN FOR ZONE 1 - BUNBURY,A'LIND,DARDANUP,EATON,BUREKUP, DALYELLUP, STRATHAM
SITE	0310	03631	0280	1	0	$360.00	10M3 BIN FOR ZONE 2 - BINNINGUP,BRUNSWICK,BOYANUP,CAPEL,MYALUP,BUSSELTON,DUNSBOROUGH,YALLINGUP
SITE	0310	03631	0282	1	0		10M3 BIN FOR ZONE 3 - HARVEY,DONNYBROOK,GRACETOWN,MARGARET RIVER, COWARAMUP.WHITECLIFFE,COLLIE
SITE	0310	03631	0284	1	0		10M3 BIN FOR ZONE 4 - NANNUP,BRIDGETOWN,BALINGUP,GREENBUSHES,BOYUP BROOK
SITE	0310	03631	0286	1	0		10M3 BIN FOR ZONE 5 - AUGUSTA, MANJIMUP,PEMBERTON
							
SITE	0320	50062	0020	1	1	$80.00	INSTALL BUILDERS SITE SIGN
							
RWALL	0330	04376	7000	1	0	$0.00	RETAINING WALL AS PER QUOTE
							
SITE	1030	11164800	7000	1	1	$0.00	ELECTRICAL AS PER QUOTE
							
PRELAY1	1040	52024	6600	1	0	$1.00	SLAB PRELAY - PROGRESS CLAIM
							
